"date","close","volume","open","high","low"
"2015/10/21","203.0000","5138249.0000","204.8000","205.0200","202.7800"
"2015/10/20","204.1900","2439730.0000","204.0500","204.9800","203.7000"
"2015/10/19","204.4900","3959915.0000","203.6600","204.5100","203.2800"
"2015/10/16","204.3300","3678901.0000","203.9500","204.4100","203.0500"
"2015/10/15","203.4300","3015008.0000","201.2700","203.4700","200.7600"
"2015/10/14","200.3600","2526133.0000","201.3200","202.0000","200.0700"
"2015/10/13","201.3700","3840546.0000","201.7600","203.2800","201.1800"
"2015/10/12","202.6800","2128929.0000","202.5500","202.8700","202.0400"
"2015/10/09","202.5000","3299568.0000","202.6300","203.0300","201.7250"
"2015/10/08","202.3500","5945239.0000","199.9800","202.6700","199.7000"
"2015/10/07","200.5100","4975064.0000","200.0500","200.9300","198.5900"
"2015/10/06","198.8700","4450177.0000","199.4200","200.0800","198.0900"
"2015/10/05","199.6200","4802481.0000","197.5400","199.8400","197.4300"
"2015/10/02","196.0700","4667359.0000","190.8000","196.0700","190.1900"
"2015/10/01","193.2400","6009634.0000","193.1400","193.5300","190.8800"
"2015/09/30","192.7100","7919153.0000","191.4900","192.8800","190.4900"
"2015/09/29","189.0400","9001773.0000","189.3000","190.7700","187.9700"
"2015/09/28","189.0100","11841000.0000","192.8500","192.9525","188.7100"
"2015/09/25","193.8500","7237725.0000","195.8000","196.0900","192.8800"
"2015/09/24","195.0600","6844682.0000","194.3200","195.5900","192.6900"
"2015/09/23","195.7600","4725444.0000","196.2600","196.8300","195.0800"
"2015/09/22","196.0900","4985873.0000","195.9800","196.6399","194.7400"
"2015/09/21","198.5900","4907695.0000","198.6200","199.8700","197.4000"
"2015/09/18","197.5500","5982016.0000","198.0000","199.7499","197.1500"
"2015/09/17","200.9000","8791534.0000","201.1500","204.0500","200.4900"
"2015/09/16","201.4100","5331509.0000","199.9200","201.5900","199.6000"
"2015/09/15","199.6200","4680911.0000","197.8300","200.1500","197.2300"
"2015/09/14","197.1500","2576520.0000","198.0600","198.1500","196.5600"
